Symbol,Description,Cost basis,Quantity,Segr.,AverageCost,Pos. cost,Mkt. price,Mkt. value,P&L,% return,% port.
BAC,BANK OF AMERICA CORP,BK,77,77,33.87,2608.32,34.0,2618.0,9.68,0.37,9.88
BA,BOEING CO,BK,41,41,220.93,9058.09,211.02,8651.82,-406.27,-4.49,32.64
ETN,EATON CORPORATION PLC,BK,11,11,165.62,1821.82,246.06,2706.66,884.84,48.57,10.21
META,META PLATFORMS INC CLASS A COMMON STOCK,BK,9,9,344.56,3101.04,389.97,3509.73,408.69,13.18,13.24
GS,GOLDMAN SACHS GROUP INC,BK,3,3,364.96,1094.87,383.7,1151.1,56.23,5.14,4.34
JPM,JPMORGAN CHASE & CO,BK,16,16,170.9,2734.39,174.34,2789.44,55.05,2.01,10.53
MSFT,MICROSOFT CORP,BK,9,9,370.81,3337.29,397.34,3576.06,238.77,7.15,13.49
ZIM,ZIM INTEGRATED SHIPPING SERVICES LTD ORDINARY SHARES,BK,100,100,13.66,1365.95,15.0,1500.0,134.05,9.81,5.66
